EmissionCap,CaptureRate,AbatementCost,Feasible,ETS_Price,ETS_Income,Tax_Income,Total_Abate_Cost,Funding_Gap,CarbonTax_Iron_and_steel,CarbonTax_Ammonia,CarbonTax_Cement,CarbonTax_Refinery,Abate_Cost
0.1,0.1,50,True,5.55555555555556,635127296.9877957,0.0,5055172195.720133,-4420044898.732337,0.0,0.0,0.0,0.0,
0.1,0.1,60,True,6.666666666666675,762152756.3853552,0.0,6066206634.864159,-5304053878.478804,0.0,0.0,0.0,0.0,
0.1,0.1,70,True,7.777777777777782,889178215.7829138,0.0,7077241074.008185,-6188062858.225271,0.0,0.0,0.0,0.0,
0.1,0.1,80,True,8.88888888888889,1016203675.1804724,0.0,8088275513.152212,-7072071837.97174,0.0,0.0,0.0,0.0,
0.1,0.1,90,True,10.000000000000009,1143229134.5780325,0.0,9099309952.296238,-7956080817.718205,0.0,0.0,0.0,0.0,
0.1,0.1,100,True,11.11111111111112,1270254593.9755914,0.0,10110344391.440266,-8840089797.464674,0.0,0.0,0.0,0.0,
0.1,0.1,110,True,12.222222222222232,1397280053.3731506,0.0,11121378830.584291,-9724098777.211142,0.0,0.0,0.0,0.0,
0.1,0.1,120,True,13.33333333333335,1524305512.7707105,0.0,12132413269.728315,-10608107756.957607,0.0,0.0,0.0,0.0,
0.1,0.2,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.2,10,True,2.2222222222222223,254050918.7951181,0.0,1011034439.1440264,-756983520.3489084,0.0,0.0,0.0,0.0,
0.1,0.2,20,True,4.444444444444445,508101837.59023625,0.0,2022068878.288053,-1513967040.6978168,0.0,0.0,0.0,0.0,
0.1,0.2,30,True,6.666666666666675,762152756.3853552,0.0,3033103317.43208,-2270950561.0467243,0.0,0.0,0.0,0.0,
0.1,0.2,40,True,8.88888888888889,1016203675.1804724,0.0,4044137756.576106,-3027934081.3956337,0.0,0.0,0.0,0.0,
0.1,0.2,50,True,11.11111111111112,1270254593.9755914,0.0,5055172195.720133,-3784917601.744541,0.0,0.0,0.0,0.0,
0.1,0.2,60,True,13.33333333333335,1524305512.7707105,0.0,6066206634.864159,-4541901122.093449,0.0,0.0,0.0,0.0,
0.1,0.2,70,True,15.555555555555564,1778356431.5658276,0.0,7077241074.008185,-5298884642.442358,0.0,0.0,0.0,0.0,
0.1,0.2,80,True,17.77777777777778,2032407350.360945,0.0,8088275513.152212,-6055868162.791267,0.0,0.0,0.0,0.0,
0.1,0.2,90,True,20.000000000000018,2286458269.156065,0.0,9099309952.296238,-6812851683.140173,0.0,0.0,0.0,0.0,
0.1,0.2,100,True,22.22222222222224,2540509187.951183,0.0,10110344391.440266,-7569835203.489082,0.0,0.0,0.0,0.0,
0.1,0.2,110,True,24.444444444444464,2794560106.746301,0.0,11121378830.584291,-8326818723.83799,0.0,0.0,0.0,0.0,
0.1,0.2,120,True,26.6666666666667,3048611025.541421,0.0,12132413269.728315,-9083802244.186895,0.0,0.0,0.0,0.0,
0.1,0.3,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.3,10,True,3.3333333333333366,381076378.1926775,0.0,1011034439.1440264,-629958060.951349,0.0,0.0,0.0,0.0,
0.1,0.3,20,True,6.666666666666673,762152756.385355,0.0,2022068878.288053,-1259916121.902698,0.0,0.0,0.0,0.0,
0.1,0.3,30,True,10.000000000000009,1143229134.5780325,0.0,3033103317.43208,-1889874182.8540468,0.0,0.0,0.0,0.0,
0.1,0.3,40,True,13.333333333333346,1524305512.77071,0.0,4044137756.576106,-2519832243.805396,0.0,0.0,0.0,0.0,
0.1,0.3,50,True,16.666666666666682,1905381890.9633875,0.0,5055172195.720133,-3149790304.7567453,0.0,0.0,0.0,0.0,
0.1,0.3,60,True,20.000000000000018,2286458269.156065,0.0,6066206634.864159,-3779748365.7080936,0.0,0.0,0.0,0.0,
0.1,0.3,70,True,23.333333333333336,2667534647.34874,0.0,7077241074.008185,-4409706426.659445,0.0,0.0,0.0,0.0,
0.1,0.3,80,True,26.666666666666693,3048611025.54142,0.0,8088275513.152212,-5039664487.610792,0.0,0.0,0.0,0.0,
0.1,0.3,90,True,30.0,3429687403.734094,0.0,9099309952.296238,-5669622548.562143,0.0,0.0,0.0,0.0,
0.1,0.3,100,True,33.333333333333364,3810763781.926775,0.0,10110344391.440266,-6299580609.513491,0.0,0.0,0.0,0.0,
0.1,0.3,110,True,36.66666666666668,4191840160.11945,0.0,11121378830.584291,-6929538670.464842,0.0,0.0,0.0,0.0,
0.1,0.3,120,True,40.00000000000004,4572916538.31213,0.0,12132413269.728315,-7559496731.416187,0.0,0.0,0.0,0.0,
0.1,0.4,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.4,10,True,4.444444444444445,508101837.59023625,0.0,1011034439.1440264,-502932601.5537903,0.0,0.0,0.0,0.0,
0.1,0.4,20,True,8.88888888888889,1016203675.1804724,0.0,2022068878.288053,-1005865203.1075804,0.0,0.0,0.0,0.0,
0.1,0.4,30,True,13.33333333333335,1524305512.7707105,0.0,3033103317.43208,-1508797804.6613688,0.0,0.0,0.0,0.0,
0.1,0.4,40,True,17.77777777777778,2032407350.360945,0.0,4044137756.576106,-2011730406.215161,0.0,0.0,0.0,0.0,
0.1,0.4,50,True,22.22222222222224,2540509187.951183,0.0,5055172195.720133,-2514663007.76895,0.0,0.0,0.0,0.0,
0.1,0.4,60,True,26.6666666666667,3048611025.541421,0.0,6066206634.864159,-3017595609.3227377,0.0,0.0,0.0,0.0,
0.1,0.4,70,True,31.11111111111113,3556712863.131655,0.0,7077241074.008185,-3520528210.87653,0.0,0.0,0.0,0.0,
0.1,0.4,80,True,35.55555555555556,4064814700.72189,0.0,8088275513.152212,-4023460812.430322,0.0,0.0,0.0,0.0,
0.1,0.4,90,True,40.00000000000004,4572916538.31213,0.0,9099309952.296238,-4526393413.984108,0.0,0.0,0.0,0.0,
0.1,0.4,100,True,44.44444444444448,5081018375.902366,0.0,10110344391.440266,-5029326015.5379,0.0,0.0,0.0,0.0,
0.1,0.4,110,True,48.88888888888893,5589120213.492602,0.0,11121378830.584291,-5532258617.091689,0.0,0.0,0.0,0.0,
0.1,0.4,120,True,53.3333333333334,6097222051.082842,0.0,12132413269.728315,-6035191218.645475,0.0,0.0,0.0,0.0,
0.1,0.5,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.5,10,True,5.55555555555556,635127296.9877957,0.0,1011034439.1440264,-375907142.1562308,0.0,0.0,0.0,0.0,
0.1,0.5,20,True,11.11111111111112,1270254593.9755914,0.0,2022068878.288053,-751814284.3124616,0.0,0.0,0.0,0.0,
